,Company Common Name,RIC,ISIN,Organization PermID,Exchange Name,TRBC Economic Sector Name,TRBC Business Sector Name,Delisted Quote Flag
46,Mhm Mode Holding AG,MHMGn.F^F02,DE0006620248,4295869396,Frankfurt Stock Exchange,,,True
47,Rinol AG,RILGk.DE^E11,DE000A0HN404,4295869250,Xetra,Industrials,Industrial & Commercial Services,True
48,Koegel Fahrzeugwerke AG,KFZG_p.F^B12,DE0006300734,4295869348,Frankfurt Stock Exchange,Industrials,Industrial Goods,True
49,United Internet AG,UTDI.F,DE0005089031,4295869278,Frankfurt Stock Exchange,Technology,Telecommunications Services,False
50,Allbecon AG,ABXG.F^E07,DE0005086003,5000057948,Frankfurt Stock Exchange,Industrials,Industrial & Commercial Services,True
51,Steffen AG,SFFG_p.F^D00,DE0007257339,4295869441,Frankfurt Stock Exchange,Consumer Cyclicals,Cyclical Consumer Products,True
52,Eisen und Huettenwerke AG,EISG.F,DE0005658009,4295870002,Frankfurt Stock Exchange,Financials,Banking & Investment Services,False
53,Einhell Germany AG,EIN_p.F,DE000A40ESU3,4295868778,Frankfurt Stock Exchange,Consumer Cyclicals,Cyclical Consumer Products,False
54,Kinowelt Medien AG,KNMG.F^K08,DE0006285901,4295869493,Frankfurt Stock Exchange,Consumer Cyclicals,Cyclical Consumer Services,True
55,euromicron AG,EUCG.F^H11,DE0005660005,4295869691,Frankfurt Stock Exchange,Industrials,Industrial Goods,True
56,Howden Turbo GmbH,KKKG.F^F06,DE0005027700,4298172876,Frankfurt Stock Exchange,Industrials,Industrial Goods,True
57,Greenwich Beteiligungen AG,PEBGa.F^L99,DE0006904790,4295869408,Frankfurt Stock Exchange,Financials,Banking & Investment Services,True
58,Elektra Beckum AG,FBEG.F^G99,DE0005667299,4295870115,,Industrials,Industrial Goods,True
59,Koepp Schaum GmbH,KPPG.F^B01,DE0006302805,4295868782,Frankfurt Stock Exchange,Basic Materials,Chemicals,True
60,Micrologica AG,MLGG.F^E11,DE0006623002,4295869702,Frankfurt Stock Exchange,Technology,Software & IT Services,True
61,Draegerwerk AG & Co KGaA,DRWG_p.F,DE0005550636,4295869101,Frankfurt Stock Exchange,Healthcare,Healthcare Services & Equipment,False
62,Schweizer Electronic AG,SCEG.F^D01,DE0007222705,4295869346,Frankfurt Stock Exchange,Technology,Technology Equipment,True
63,Lindner Holding KGaA,LNDG.F^G05,DE0006487200,4295869345,Frankfurt Stock Exchange,Consumer Cyclicals,Cyclical Consumer Products,True
64,Heyde AG,HEYG.F^G11,DE0006026701,4295869690,Frankfurt Stock Exchange,Technology,Software & IT Services,True
65,Fritz Nols AG,FNGG.F^L23,DE0005070908,4295869705,Frankfurt Stock Exchange,Industrials,Industrial & Commercial Services,True
66,Moninger Holding AG,BMOG.F^C19,DE0005247308,4295869774,Frankfurt Stock Exchange,Consumer Non-Cyclicals,Food & Beverages,True
67,Brokat Technologies AG,BRJG.F^G03,DE0005221907,4295869713,Frankfurt Stock Exchange,Technology,Software & IT Services,True
68,InnoTec TSS AG,TSSG.DE^L03,DE0005405104,4295868830,Xetra,Consumer Cyclicals,Cyclical Consumer Products,True
69,MCS Modulare Computer und Software Systeme AG,MCOG.F^L12,DE0006582802,4295868848,Frankfurt Stock Exchange,Industrials,Industrial Goods,True
70,PSI Software SE,PSAGn.F,DE000A0Z1JH9,4295869696,Frankfurt Stock Exchange,Technology,Software & IT Services,False
71,Howden Turbo GmbH,KKKG_p.F^F06,DE0005027734,4298172876,Frankfurt Stock Exchange,Industrials,Industrial Goods,True
72,Mensch und Maschine Software SE,MUMG.F,DE0006580806,5000071466,Frankfurt Stock Exchange,Technology,Software & IT Services,False
73,Bertrandt AG,BDTG.F,DE0005232805,4295869269,Frankfurt Stock Exchange,Industrials,Industrial & Commercial Services,False
74,1&1 AG,1U1.F,DE0005545503,4295869472,Frankfurt Stock Exchange,Technology,Telecommunications Services,False
75,Stixi AG,STXG_p.F^F99,DE0007345332,4295868757,Frankfurt Stock Exchange,,,True
76,Vattenfall Europe AG,VTTG.F^D08,DE0006012008,4295870331,Frankfurt Stock Exchange,Utilities,Utilities,True
77,H&R GmbH & Co KgaA,2HR.DE,DE000A2E4T77,5052135102,Xetra,Basic Materials,Chemicals,False
78,Kih Kommunikations Industrie Holding AG,KIHG.F^C00,DE0006921703,4295868859,Frankfurt Stock Exchange,,,True
79,Simona AG,SIM0.F,DE000A3E5CP0,4295868864,Frankfurt Stock Exchange,Basic Materials,Chemicals,False
80,SCHLEICHER & Co INTERNATIONAL AG,SCLG.F^J03,DE0007175101,5035558577,Frankfurt Stock Exchange,Technology,Technology Equipment,True
81,Refugium Holding AG,REFG.F^C08,DE0007007106,4295869267,Frankfurt Stock Exchange,Real Estate,Real Estate,True
82,Fujitsu TDS GmbH,TDSG.F^F12,DE0005085609,5050718232,Frankfurt Stock Exchange,Technology,Technology Equipment,True
83,Rolf Benz AG & Co KG,RBAG_p.F^J00,DE0005203731,4295869368,Frankfurt Stock Exchange,Consumer Cyclicals,Cyclical Consumer Products,True
84,Concord Investmentbank AG,CCFG.F^L12,DE0005410203,4295869466,Frankfurt Stock Exchange,Financials,Banking & Investment Services,True
85,Mdb AG,MDBG.F^A05,DE0006583107,4295869391,Frankfurt Stock Exchange,Consumer Cyclicals,Cyclical Consumer Products,True
86,P-D Interglas Technologies GmbH,ITEG.F^K06,DE0006210016,5000593371,Frankfurt Stock Exchange,Basic Materials,Chemicals,True
87,Arzneiwerk VIDA AG,TLIK.F,DE000A289B07,4295869715,Frankfurt Stock Exchange,Technology,Telecommunications Services,False
88,Schwaelbchen Molkerei Jakob Berz AG,SMBG.F,DE0007218901,4295868877,Frankfurt Stock Exchange,Consumer Non-Cyclicals,Food & Beverages,False
89,Curtis 1000 Europe AG,CEUG.F^A11,DE0005431001,4295869921,Frankfurt Stock Exchange,Basic Materials,Applied Resources,True
90,CashLife AG(pre-merger),SGSG.F^K12,DE0005009104,4295868842,Frankfurt Stock Exchange,Financials,Banking & Investment Services,True
91,Sachsenring Automobiltechnik AG,SRGG.F^G08,DE0007162208,4295869266,Frankfurt Stock Exchange,Consumer Cyclicals,Automobiles & Auto Parts,True
92,Sonae Arauco Deutschland GmbH,GLUG.F^C06,DE0005887202,4295868697,Frankfurt Stock Exchange,Basic Materials,Applied Resources,True
93,CashLife AG(pre-merger),ADVG_pa.F^L99,DE0005009138,4295868842,Frankfurt Stock Exchange,Financials,Banking & Investment Services,True
94,mobilcom AG,MOBG.F^C07,DE0006622400,4297824039,Frankfurt Stock Exchange,Technology,Telecommunications Services,True
95,Meta Wolf AG,WOLFG.F,DE000A254203,4295869273,Frankfurt Stock Exchange,Consumer Cyclicals,Cyclical Consumer Products,False
96,WASGAU Produktions & Handels AG,MSHGn.F,DE0007016008,4295869431,Frankfurt Stock Exchange,Consumer Non-Cyclicals,Food & Drug Retailing,False
97,MISTRAL Media AG,SPZN.F^K15,DE000A1PHC13,4295869688,Frankfurt Stock Exchange,Financials,Banking & Investment Services,True
98,technotrans SE,TTRGn.F,DE000A0XYGA7,5064620654,Frankfurt Stock Exchange,Industrials,Industrial Goods,False
99,Augusta Technologie AG,ABEG.F^E05,DE0005088603,4295869446,Frankfurt Stock Exchange,Technology,Technology Equipment,True
100,Robert Cordier AG,CODG.F^A09,DE0005452403,4295869375,Frankfurt Stock Exchange,Basic Materials,Applied Resources,True
101,RM Rheiner Management AG,RMOG.F^L14,DE0007018707,5000669624,Frankfurt Stock Exchange,Financials,Investment Holding Companies,True
102,BUS Berzelius Umwelt Service AG,BUSG_p.F^F03,DE0005285738,4295868866,Frankfurt Stock Exchange,Industrials,Industrial & Commercial Services,True
103,CompuGroup Medical SE & Co KgaA,COPM_p.F^G00,DE0005437339,5050307430,Frankfurt Stock Exchange,Technology,Software & IT Services,True
104,Greenwich Beteiligungen AG,PEBG_pa.F^L99,DE0006904774,4295869408,Frankfurt Stock Exchange,Financials,Banking & Investment Services,True
105,ATB Welzheim GmbH,ATBG.F^G03,DE0005051601,4295869361,Frankfurt Stock Exchange,Industrials,Industrial Goods,True
106,Wuensche AG,WUNG.F^C07,DE0007798100,4295870282,Frankfurt Stock Exchange,Consumer Cyclicals,Retailers,True
107,Graphit Kropfmuehl AG,GKRG.F^J12,DE0005896005,4295870270,Frankfurt Stock Exchange,Basic Materials,Mineral Resources,True
108,Paris Corp,PBFI.PK^E03,US6995561064,4295907547,USA Pink Sheets,Industrials,Industrial & Commercial Services,True
109,Elsa AG,ELSG.F^G10,DE0005073605,4295869699,Frankfurt Stock Exchange,Technology,Software & IT Services,True
110,Carl Schenck AG,CSCG.F^I04,DE0007171704,4295869125,Frankfurt Stock Exchange,Industrials,Industrial Goods,True
111,Singulus Technologies AG,SNGGk.F,DE000A1681X5,4295869268,Frankfurt Stock Exchange,Industrials,Industrial Goods,False
112,Intershop Communications AG,ISHG.F^G05,DE0007472920,4295869718,Frankfurt Stock Exchange,Technology,Software & IT Services,True
113,Konrad Hornschuch AG,HOKG.F^L05,DE0006083900,4295868809,Frankfurt Stock Exchange,Consumer Cyclicals,Cyclical Consumer Products,True
114,Gardena GmbH,GADG_p.F^A03,DE0005852032,4295869193,Frankfurt Stock Exchange,Financials,Investment Holding Companies,True
115,Schaltbau Holding AG,SLTG.DE^L21,DE000A2NBTL2,4295869409,Xetra,Consumer Cyclicals,Automobiles & Auto Parts,True
116,Agfb AG Fuer Beteiligungen An Telekommunikationsunternehmen,ABTG.F^C01,DE0005008809,4295869438,Frankfurt Stock Exchange,,,True
117,Aliaxis Deutschland GmbH,FKKG.F^J05,DE0005788509,4295869180,Frankfurt Stock Exchange,Industrials,Industrial Goods,True
118,Beta Systems Software AG(Pre-Merger),BSSG.F^F25,DE000A2BPP88,4295869281,Frankfurt Stock Exchange,Technology,Software & IT Services,True
119,Uzin Utz SE,UZU.F,DE0007551509,4295869530,Frankfurt Stock Exchange,Industrials,Industrial & Commercial Services,False
120,Comarch AG,FTMGk.F^J12,DE000A1KRMR8,4295869712,Frankfurt Stock Exchange,Technology,Software & IT Services,True
121,BBS Kraftfahrzeugtechnik AG,BKTG_p.F^C21,DE0005196232,4295868779,Frankfurt Stock Exchange,Consumer Cyclicals,Automobiles & Auto Parts,True
122,Sachsenmilch GmbH,SAHGk.F^L16,DE000A0DRXC4,4295869173,Frankfurt Stock Exchange,Financials,Banking & Investment Services,True
123,Hach AG,HAHG_p.F^A05,DE0006001738,4295868865,Frankfurt Stock Exchange,Industrials,Industrial & Commercial Services,True
124,Muehlbauer Holding AG,MUBG.F,DE0006627201,5044009838,Frankfurt Stock Exchange,Technology,Technology Equipment,False
125,infas Holding AG,IFS1.F,DE0006097108,4295869282,Frankfurt Stock Exchange,Consumer Cyclicals,Cyclical Consumer Services,False
126,Elbe BidCo GmbH,ECVG.F^B25,DE0006095003,5087114213,Frankfurt Stock Exchange,Financials,Banking & Investment Services,True
127,BUS Berzelius Umwelt Service AG,BUSG.F^F03,DE0005285704,4295868866,Frankfurt Stock Exchange,Industrials,Industrial & Commercial Services,True
128,Berliner Effektengesellschaft AG,BEFG.F,DE0005221303,4295869463,Frankfurt Stock Exchange,Financials,Banking & Investment Services,False
129,HPI AG,CEWGn.F^E06,DE0005082226,4295869729,Frankfurt Stock Exchange,Technology,Technology Equipment,True
130,Berliner Kindl Brauerei Aktiengesellschaft,BKBG.F^A03,DE0005221006,4295868750,Frankfurt Stock Exchange,Consumer Non-Cyclicals,Food & Beverages,True
131,MAX Automation SE,MXHNn.F,DE000A2DA588,5062149042,Frankfurt Stock Exchange,Industrials,Industrial Goods,False
132,Lintec Information Technologies AG,LICGk.F^F11,DE000A0TGJ71,4295869700,Frankfurt Stock Exchange,Technology,Technology Equipment,True
133,Tiag Tabbert Industrie AG,TIAG.F^C07,DE0007482606,4295869330,Frankfurt Stock Exchange,Consumer Cyclicals,Cyclical Consumer Products,True
134,Kih Kommunikations Industrie Holding AG,KIHG_p.F^D00,DE0006921737,4295868859,Frankfurt Stock Exchange,,,True
135,Metric Mobility Solutions AG,HWSAk.F^G20,DE000A1X3X66,4295869685,Frankfurt Stock Exchange,Technology,Technology Equipment,True
136,DEAG Deutsche Entertainment AG,LOUDG.F^D21,DE000A3E5DA0,4295869683,Frankfurt Stock Exchange,Consumer Cyclicals,Cyclical Consumer Services,True
137,R. STAHL AG,RSL2.F,DE000A1PHBB5,4295869515,Frankfurt Stock Exchange,Industrials,Industrial Goods,False
138,Versandhandelabwicklungsgesellschaft in Neumuenster AG,OPPG.F^E04,DE0006864705,4295869974,Frankfurt Stock Exchange,Consumer Cyclicals,Retailers,True
139,Ceyoniq AG,CEEG.F^A16,DE0005420004,4295869481,Frankfurt Stock Exchange,Technology,Software & IT Services,True
140,Autania AG Fuer Industriebeteiligungen,AUTG.DE^J08,DE0005078000,4295869357,Xetra,Financials,Banking & Investment Services,True
141,Schaerf GmbH,SCBG_p.F^E01,DE0007169732,5035954507,Frankfurt Stock Exchange,Consumer Cyclicals,Cyclical Consumer Products,True
142,Schoen & Cie AG,SCCG.F^G01,DE0007198897,4295868869,Frankfurt Stock Exchange,Industrials,Industrial Goods,True
143,Triumph International AG,TRIG.F^B12,DE0007494908,4295868880,Frankfurt Stock Exchange,Consumer Cyclicals,Cyclical Consumer Products,True
144,Apcoa Parking AG,APPG.F^J03,DE0005055503,4295869174,Frankfurt Stock Exchange,Industrials,Transportation,True
145,JADO AG,JADG_p.F^I04,DE0006211931,4295869421,Frankfurt Stock Exchange,Consumer Cyclicals,Cyclical Consumer Products,True
146,Teldafax AG,TFXG.F^I01,DE0007455107,4295869710,Frankfurt Stock Exchange,Technology,Software & IT Services,True
147,Kling Jelko Wertpapierhandelsbank AG,KJDG.F^J05,DE0006291404,5000007194,Frankfurt Stock Exchange,Financials,Banking & Investment Services,True
148,Cewe Stiftung & Co KGaA,CWCG.DE,DE0005403901,5040258563,Xetra,Industrials,Industrial & Commercial Services,False
149,UniCredit Bank GmbH,BHWG.F^I98,DE0008020009,5000048673,Frankfurt Stock Exchange,Financials,Banking & Investment Services,True
150,Plenum AG,PLEGk.F^I09,DE000A161Z44,5040701011,Frankfurt Stock Exchange,Industrials,Industrial & Commercial Services,True
151,VDN Vereinigte Deutsche Nickel-Werke AG,VDNG.F^G20,DE0006455009,4295868973,Frankfurt Stock Exchange,Consumer Non-Cyclicals,Consumer Goods Conglomerates,True
152,SER Systems AG,SESG.F^H11,DE0007241903,4295869263,Frankfurt Stock Exchange,Technology,Software & IT Services,True
153,Roeder Zeltsysteme und Service GmbH,RZSG.F^G14,DE0007066003,4295870090,Frankfurt Stock Exchange,Consumer Cyclicals,Cyclical Consumer Products,True
154,Aixtron SE,AIXGn.F,DE000A0WMPJ6,5001428570,Frankfurt Stock Exchange,Technology,Technology Equipment,False
155,Sero Entsorgung AG,SROG.F^K14,DE0007230401,4295869188,Frankfurt Stock Exchange,Industrials,Industrial & Commercial Services,True
156,Saltus Technology AG,SASG.F^L12,DE0007161002,4295869261,Frankfurt Stock Exchange,Industrials,Industrial Goods,True
157,Mercedes-Benz Group AG,DAIGa.F^L98,DE0005500094,4295869694,Frankfurt Stock Exchange,Consumer Cyclicals,Automobiles & Auto Parts,True
158,Daimler Benz AG,DAIG.F^L98,DE0005500003,4295869200,Frankfurt Stock Exchange,,,True
159,BHS Tabletop AG (Pre-Merger),HULGa.F^I98,DE0006102098,4295869078,Frankfurt Stock Exchange,Consumer Cyclicals,Cyclical Consumer Products,True
160,BHS Tabletop AG (Pre-Merger),BHSG.F^K20,DE0006102007,4295869078,Frankfurt Stock Exchange,Consumer Cyclicals,Cyclical Consumer Products,True
161,Mercedes-Benz Group AG,MBGn.F,DE0007100000,4295869694,Frankfurt Stock Exchange,Consumer Cyclicals,Automobiles & Auto Parts,False
162,CeoTronics Audio Video Data Communication AG,CEKG.F,DE0005407407,4295869731,Frankfurt Stock Exchange,Technology,Technology Equipment,False
163,mb Software AG,MBSG.F^H12,DE0006583206,4295869693,Frankfurt Stock Exchange,Technology,Software & IT Services,True
164,B+S Banksysteme AG,DTDGk.F,DE0001262152,4295869704,Frankfurt Stock Exchange,Technology,Financial Technology (Fintech) & Infrastructure,False
165,Alpiq Anlagentechnik GmbH,KAHG.F^C99,DE0006324106,4295932331,Frankfurt Stock Exchange,,,True
166,NSI Asset AG,VMRGn.F^G04,DE0007605552,4295869753,Frankfurt Stock Exchange,Financials,Banking & Investment Services,True
167,Elanix Biotechnologies AG,ELNk.F^H23,DE000A0WMJQ4,5049103068,Frankfurt Stock Exchange,Healthcare,Pharmaceuticals & Medical Research,True
168,Herzog TELECOM AG,HZTG.F^G09,DE0005777700,4295869686,Frankfurt Stock Exchange,Technology,Telecommunications Services,True
169,NTT Com Security AG,AAGGn.F^L13,DE0005155030,4295869692,Frankfurt Stock Exchange,Technology,Software & IT Services,True
170,Ixos Software AG,IXSG.F^G05,DE0005061501,4295869706,Frankfurt Stock Exchange,Technology,Software & IT Services,True
171,Nomis Projekte AG,WAFG.F^H98,DE0007761108,4295869132,Frankfurt Stock Exchange,Basic Materials,Mineral Resources,True
172,Tecis Holding AG,TESG.F^B03,DE0006211600,4295869726,Frankfurt Stock Exchange,Financials,Banking & Investment Services,True
173,LPKF Laser & Electronics SE,LPKG.F,DE0006450000,4295869721,Frankfurt Stock Exchange,Technology,Technology Equipment,False
174,Korian Deutschland GmbH,BOHG.F^B15,DE0005240709,5050697139,Frankfurt Stock Exchange,Healthcare,Healthcare Services & Equipment,True
175,OAR Consulting Aktiengesellschaft,OARG.DE^H07,DE0006870801,4295869717,Xetra,Technology,Software & IT Services,True
176,PARIGROUP SE,CEVG.F^A21,DE0005407506,5073152582,Frankfurt Stock Exchange,Financials,Banking & Investment Services,True
177,Nomis Projekte AG,WAFGa.F^A00,DE0007761199,4295869132,Frankfurt Stock Exchange,Basic Materials,Mineral Resources,True
178,PNE AG,PNEGn.F,DE000A0JBPG2,4295869742,Frankfurt Stock Exchange,Energy,Renewable Energy,False
179,All for One Group SE,A1OS.F,DE0005110001,4295869716,Frankfurt Stock Exchange,Technology,Software & IT Services,False
180,SQD.ai Strategies AG,IPOk.F,DE000A254294,4295870303,Frankfurt Stock Exchange,Financials,Banking & Investment Services,False
181,Computec Media AG,CMDG.F^J13,DE0005441000,4295869723,Frankfurt Stock Exchange,Consumer Cyclicals,Cyclical Consumer Services,True
182,TDMi AG,ARXG.F^G20,DE0005098008,4295869629,Frankfurt Stock Exchange,Consumer Non-Cyclicals,Personal & Household Products & Services,True
183,Lenovo Computer AG,MDNG.F^A25,DE0006605009,4295869749,Frankfurt Stock Exchange,Technology,Technology Equipment,True
184,Fortec Elektronik AG,FEVG.F,DE0005774103,4295869460,Frankfurt Stock Exchange,Technology,Technology Equipment,False
185,Intertainment AG,ITMG.F,DE0006223605,4295869750,Frankfurt Stock Exchange,Consumer Cyclicals,Cyclical Consumer Services,False
186,Utimaco Safeware AG,UTIG.F^H12,DE0007572406,5040272219,Frankfurt Stock Exchange,Technology,Software & IT Services,True
187,Thyssen Industrie AG,RSTG.F^C99,DE0007033003,4295869192,Frankfurt Stock Exchange,Industrials,Industrial Goods,True
188,CINEMEDIA FILM AG GEYER WERKE,CMWG.F^H14,DE0005433007,4295869748,Frankfurt Stock Exchange,Consumer Cyclicals,Cyclical Consumer Services,True
189,Wild Bunch AG,SENG.F^G04,DE0007224404,4295869751,Frankfurt Stock Exchange,Consumer Cyclicals,Cyclical Consumer Services,True
190,Pongs & Zahn AG,PUZG.F^K21,DE0006954001,4295868868,Frankfurt Stock Exchange,Basic Materials,Chemicals,True
191,Vestcorp AG,VESGn.F^L12,DE000A0Z2334,5001230246,Frankfurt Stock Exchange,Financials,Investment Holding Companies,True
192,PrimaCom AG,PRIG.F^K14,DE0006259104,4295869786,Frankfurt Stock Exchange,Technology,Telecommunications Services,True
193,Neschen AG,NSNG.F^J23,DE0005021307,4295869758,Frankfurt Stock Exchange,Basic Materials,Applied Resources,True
194,MorphoSys AG,MORG.F^H24,DE0006632003,4295869785,Frankfurt Stock Exchange,Healthcare,Pharmaceuticals & Medical Research,True
195,MVV Energie AG,MVVGe.F^C00,DE0007255911,4295869756,Frankfurt Stock Exchange,Utilities,Utilities,True
196,ANDRITZ Deutschland Holding GmbH,SCUG_p.F^F08,DE0007210635,4295869762,Frankfurt Stock Exchange,Industrials,Industrial Goods,True
197,Fried Krupp Hoesch Krupp AG,FKHG.F^D99,DE0006335409,4295868949,Frankfurt Stock Exchange,Industrials,Industrial & Commercial Services,True
198,Adtran Networks SE,ADVG.F,DE0005103006,5037659154,Frankfurt Stock Exchange,Technology,Technology Equipment,False
199,Basler AG,BSLG.F,DE0005102008,4295869761,Frankfurt Stock Exchange,Technology,Technology Equipment,False
200,Brain Abwicklungsgesellschaft AG,BNIG.F^F04,DE0005252506,4295869739,Frankfurt Stock Exchange,Technology,Software & IT Services,True
201,I Fao AG,FAOGn.F^L16,DE0006224520,4295869755,Frankfurt Stock Exchange,Technology,Software & IT Services,True
202,MyHammer Holding AG,MYRKk.F^H21,DE000A11QWW6,4295869759,Frankfurt Stock Exchange,Technology,Software & IT Services,True
203,Amadeus Fire AG,AMDG.F,DE0005093108,4295869738,Frankfurt Stock Exchange,Industrials,Industrial & Commercial Services,False
204,Nemetschek SE,NEKG.F,DE0006452907,5050710924,Frankfurt Stock Exchange,Technology,Software & IT Services,False
